"0", "1", "2", "3", "4"
"33996344","33996351","GB","GBR","UNITED KINGDOM"
"50331648","69956103","US","USA","UNITED STATES"
"69956104","69956111","BM","BMU","BERMUDA"
"69956112","83886079","US","USA","UNITED STATES"
"94585424","94585439","SE","SWE","SWEDEN"
"100663296","121195295","US","USA","UNITED STATES"
"121195296","121195327","IT","ITA","ITALY"
"121195328","152305663","US","USA","UNITED STATES"
"152305664","152338431","GB","GBR","UNITED KINGDOM"
"152338432","167772159","US","USA","UNITED STATES"
"184549376","201620303","US","USA","UNITED STATES"
"201620304","201620311","CA","CAN","CANADA"
"201620312","201674095","US","USA","UNITED STATES"
"201674096","201674111","CA","CAN","CANADA"
"201674112","201897983","US","USA","UNITED STATES"
"201897984","201898239","PR","PRI","PUERTO RICO"
"201898240","202035199","US","USA","UNITED STATES"
"202035200","202035711","IN","IND","INDIA"
"202035712","202385407","US","USA","UNITED STATES"
"202385408","202385919","PR","PRI","PUERTO RICO"
"202385920","202706431","US","USA","UNITED STATES"
"202706432","202706943","PR","PRI","PUERTO RICO"
"202706944","203197063","US","USA","UNITED STATES"
"203197064","203197071","CA","CAN","CANADA"
"203197072","203545351","US","USA","UNITED STATES"
"203545352","203545359","CA","CAN","CANADA"
"203545360","203751623","US","USA","UNITED STATES"
"203751624","203751631","CA","CAN","CANADA"
"203751632","203850679","US","USA","UNITED STATES"
"203850680","203850687","CA","CAN","CANADA"
"203850688","203933791","US","USA","UNITED STATES"
"203933792","203933807","CA","CAN","CANADA"
"203933808","205500987","US","USA","UNITED STATES"
"205500988","205500991","CA","CAN","CANADA"
"205500992","208605279","US","USA","UNITED STATES"
"208605280","208605311","CA","CAN","CANADA"
"208605312","210784255","US","USA","UNITED STATES"
"210784256","210784383","BO","BOL","BOLIVIA"
"210784384","210784767","US","USA","UNITED STATES"
"210784768","210786303","BO","BOL","BOLIVIA"
"210786304","212787199","US","USA","UNITED STATES"
"212787200","212788223","PR","PRI","PUERTO RICO"
"212788224","214858655","US","USA","UNITED STATES"
"214858656","214858671","NL","NLD","NETHERLANDS"
"214858672","260227071","US","USA","UNITED STATES"
"260227072","260231167","GB","GBR","UNITED KINGDOM"
"260231168","260976639","US","USA","UNITED STATES"
"260976640","260980735","GB","GBR","UNITED KINGDOM"
"260980736","264482815","US","USA","UNITED STATES"
"264482816","264486911","DE","DEU","GERMANY"
"264486912","264495103","US","USA","UNITED STATES"
"264495104","264503295","CH","CHE","SWITZERLAND"
"264503296","264617983","US","USA","UNITED STATES"
"264617984","264667135","DE","DEU","GERMANY"
"264667136","264699903","US","USA","UNITED STATES"
"264699904","264716287","CH","CHE","SWITZERLAND"
"264716288","264798207","US","USA","UNITED STATES"
"264798208","264802303","GB","GBR","UNITED KINGDOM"
